title,link,description,author
Cura Reiki para os Chakras,https://play.google.com/store/books/details?id=ad_WEAAAQBAJ&source=gbs_api,"Este livro mostra como usar o Reiki para curar e equilibrar os chakras para alcançar o crescimento pessoal e espiritual. O material apresentado aqui é perfeito para os praticantes de cura iniciantes, tanto para construir conhecimento do sistema de chakras quanto para aprender sobre as técnicas e tradições do Reiki. Discuto o que cada um deles é e como funcionam juntos para complementar uma medicina energética ou uma prática de cura holística. Use as orientações deste livro do início ao fim (recomendado para iniciantes) ou navegue até o capítulo em que está interessado. Este livro tem uma estrutura flexível para permitir que você escolha o que precisa no momento, sem se sentir perdido se tiver tendência a pule ao redor. Espero que esse conhecimento o inspire a usar sua conexão com o Reiki, seu canal de Reiki, para melhorar sua vida e expandir-se espiritualmente com graça, facilidade e confiança. Com uma prática dedicada e algum tempo e esforço gastos usando seus dons e conectando-se com o Espírito, qualquer pessoa pode aprender essa modalidade prática. A ciência da física quântica reconheceu a presença de uma força unificadora de energia entre todas as matérias do Universo. Essa força vital une o corpo, a mente e o Espírito com a energia da Fonte. Portanto, o Reiki pode ser usado para experimentar a unidade com tudo o que existe. Por meio desse trabalho, você será capaz de fornecer um espaço de cura para si mesmo ou de ajudar as pessoas a se curarem de maneiras profundas. Quer você planeje usar o Reiki para sua própria saúde e bem-estar, ou planeje expandir sua prática para o treinamento de professores mestres de Reiki, este livro é um excelente ponto de partida. Desejo a você muitas bênçãos de amor e luz neste momento de despertar. Que a sua aplicação e integração deste trabalho sejam uma alegria e uma iluminação em sua vida.",
Manual da cura tibetana,http://books.google.com.br/books?id=miJl00d-4XsC&dq=cura+quantica+OR+energia+OR+chakras+OR+reiki+OR+lei+da+atracao+OR+cura+natural&hl=&as_pt=BOOKS&source=gbs_api,,['Thomas Dunkenberger']
Reik - Cura E Harmonia Através Das Maos,http://books.google.com.br/books?id=Zm8_oFhpKmcC&dq=cura+quantica+OR+energia+OR+chakras+OR+reiki+OR+lei+da+atracao+OR+cura+natural&hl=&as_pt=BOOKS&source=gbs_api,,
Reiki Para a Cura Emocional,http://books.google.com.br/books?id=5zAxLoezucQC&dq=cura+quantica+OR+energia+OR+chakras+OR+reiki+OR+lei+da+atracao+OR+cura+natural&hl=&as_pt=BOOKS&source=gbs_api,,
"EMPATIA PSÍQUICA 5 LIVROS EM 1 Reiki para Iniciantes, Kundalini, Cura dos Chakras, Budismo, Desenvolvimento Psíquico, Terceiro Olho, Técnicas de Sono Profundo, Terapia de Conscientização, Empatia e Yoga Sutras",https://play.google.com/store/books/details?id=2XLuEAAAQBAJ&source=gbs_api,"No início, muitas pessoas desejam técnicas simples de meditação. Alguns tipos de meditação que são bons para iniciantes são a meditação das ondas cerebrais, a meditação respiratória ou a meditação hipnótica. O terceiro olho (relacionado ao sexto chakra) é uma propriedade conhecida do corpo etérico. Ele contém numerosos poderes psíquicos de consciência superior, incluindo clarividência e PES. Pesquisas recentes estão cada vez mais convergindo sobre a possível conexão entre o terceiro olho e a glândula pineal, que é uma parte única do cérebro porque não está diretamente conectada a nenhum dos hemisférios. Estudos subsequentes forneceram evidências conclusivas dos efeitos adversos do flúor na glândula pineal. No interesse do desenvolvimento da consciência humana, é essencial nutrir a glândula pineal e evitar que contaminantes inorgânicos danifiquem irreversivelmente esta parte crítica do cérebro. Abrir o seu coração é uma indicação de abrir literalmente o seu coração físico para a frequência do amor verdadeiro, que é o amor incondicional. É um amor próprio que não se baseia nas necessidades do ego, no reconhecimento ou nas conquistas mundanas. Quando você abre seu coração físico, você abre seu chacra cardíaco, e isso faz o amor fluir através de seu cérebro, de seu corpo e do mundo inteiro. É uma vida autêntica. A maioria das pessoas pensa que sente amor verdadeiro quando está apaixonada ou em um relacionamento. Este pode ser o caso de alguns, mas a maioria das pessoas assume ansiedade, depressão, cinismo, violência interna e falta de autocompaixão, então elas realmente partem do amor condicional. Quando você dá amor para receber amor, você está em um relacionamento condicionado. As leis da atração sempre direcionam sua mente e sua vida para o bem-estar. Esse fluxo é bloqueado quando você para de aceitar as coisas como elas aparecem. Se você aprender a aceitar as coisas boas ou ruins, descobrirá que todas as coisas levam a uma parte melhor de você mesmo. Para expandir sua mente, você precisa estar mais aberto às coisas. Estar aberto às coisas pode ser diferente do que você imaginava anteriormente. Quando você expande sua mente, as coisas que você gostaria de trazer para si mesmo tornam-se mais rápidas do que você as persegue. A maioria das pessoas não tem ideia de como isso funciona. As técnicas de meditação podem ajudá-lo a lidar com a vida atual, que é cheia de lutas e estresse. Se você optar por desacelerar, há uma boa chance de que ele fique para trás. A maioria de nós vive uma vida estressante e está sobrecarregada de trabalho para acompanhar os outros. O estresse é a porta de entrada para todas as queixas mentais e emocionais. A meditação é a melhor maneira de aliviar o estresse e viver uma vida saudável e feliz. A meditação é tradicionalmente feita com foco em objetos como uma vela ou a respiração. Através da meditação, a mente e o corpo relaxam e você experimenta paz interior. Quanto mais concentrado você estiver, melhores resultados obterá. A meditação ajuda a desenvolver seu nível de concentração. Muitas pessoas entre nós acreditam que a meditação não é para nós e não pode funcionar na nossa situação. Bem, isso está completamente errado, e o fato é que qualquer pessoa pode aprender meditação facilmente, e se você praticá-la regularmente, isso o ajudará a se conhecer melhor.",
O Guia das Técnicas do Reiki - Cura Reiki para Iniciantes curando mais de 100 doenças,https://play.google.com/store/books/details?id=uXbVEAAAQBAJ&source=gbs_api,"Independentemente de onde você esteja no caminho, este livro é para você. Ele oferece uma cartilha sobre uma das minhas ferramentas favoritas de capacitação, Reiki, uma energia de cura universal que tem a capacidade de mudar vidas e, acredito, mudar a energia do planeta e do universo de maneiras positivas. No entanto, antes de começarmos a curar todo o universo com a energia Reiki, ele começa com você. Neste livro, apresento ferramentas para começar a usar o Reiki, recontando a história do Reiki, compartilhando com você como se sintonizar e usar a energia e oferecendo informações sobre como usar o Reiki para si mesmo e para os outros para obter a cura que serve ao maior e maior bem. Se você está procurando um plano fácil e compreensível para se sintonizar e canalizar a energia Reiki, é isso. Exploraremos os princípios e práticas comuns do Reiki e, a seguir, examinaremos várias aplicações para corrigir desequilíbrios energéticos que podem causar problemas físicos, mentais e emocionais.",
Mudança Cerebral Descubra sua energia de cura,https://play.google.com/store/books/details?id=e33lEAAAQBAJ&source=gbs_api,"Neste livro contarei como a abordagem puramente científica com a qual abordei meu assunto quando era um jovem médico um dia me apresentou um enorme desafio. Foi então que, aos quarenta anos, fui percebendo aos poucos que poderia contribuir para o processo de cura com as próprias mãos, aliadas a um certo estado interior, e assim também ajudar pessoas que pareciam não ter outra ajuda. De acordo com minha autoimagem médica, de repente coloquei um pé no campo do esoterismo. Não pensei muito nisso, e por um bom motivo. Senti-me empenhado em continuar a história de sucesso científico de uma década em que se baseia a nossa medicina moderna. Os esoteristas que se reúnem à margem desta medicina, muitos deles malabaristas, charlatões e aproveitadores, muitas vezes confiam na fé e na esperança em vez de na evidência. Mal sabem eles quão descuidadamente podem causar danos reais a um bem tão importante como a saúde. Neste livro, portanto, também lhe contarei como essa capacidade inicialmente confusa de ajudar com as mãos me forçou, no espírito de minha mãe analítica, a questioná-la constantemente cientificamente e a encontrar explicações plausíveis para ela. Eu estava bem em acreditar em milagres. Eu fiz isso naquela época e faço ainda mais agora com minhas décadas de experiência médica. Mas, primeiro, eu não acreditava que qualquer método de tratamento pudesse produzir milagres sistematicamente. E em segundo lugar, eu tinha certeza de que muitas vezes confundimos as coisas com milagres simplesmente porque não temos explicações lógicas para elas.",
Manual de Reiki do Dr. Mikao Usui,http://books.google.com.br/books?id=KiGZLrimLAEC&dq=cura+quantica+OR+energia+OR+chakras+OR+reiki+OR+lei+da+atracao+OR+cura+natural&hl=&as_pt=BOOKS&source=gbs_api,"Nada é mais autêntico do que o original. Essa tradução para o português do manual do Reiki original, escrito pelo dr. Mikao Usui, responsável pelo Sistema do Reiki e fundador da organização Usui Ryoho Gakkai no Japão, possibilita ao leitor que possa estudar diretamente, pela primeira vez, as posições das mãos e as técnicas de tratamento adotadas por ele. Publicado pela primeira vez fora do Japão, este manual permitirá a todos os praticantes do Reiki, tanto os iniciados quanto os mestres, expandir significativamente seus conhecimentos, seguindo os passos de uma do dr. Usui. Ricamente ilustrado, esse livro é indispensável aos praticantes dessa técnica milenar de cura.","['Mikao Usui', 'Frank Arjava Petter']"
CURSO COMPLETO DE CHAKRAS E CURA ENERGÉTICA,https://play.google.com/store/books/details?id=97YAEQAAQBAJ&source=gbs_api,"Desvende os mistérios da energia vital que percorre seu corpo e transforme sua vida com o ""Curso Completo de Chakras e Cura Energética"". Este livro é um guia abrangente e acessível para aqueles que desejam explorar e compreender os chakras, os centros de energia que influenciam todos os aspectos de nossa existência. Com uma abordagem prática e detalhada, este curso leva você por uma jornada fascinante através dos sete principais chakras, desde a base até o topo da cabeça, explorando sua influência em nossa saúde física, mental, emocional e espiritual. Você aprenderá a identificar bloqueios energéticos, entenderá como eles afetam sua vida e descobrirá técnicas eficazes para desbloquear e equilibrar cada chakra. Além disso, este livro oferece insights valiosos sobre a cura energética, ensinando práticas e exercícios para limpar, purificar e revitalizar seu sistema energético. Você descobrirá como utilizar a meditação, cristais, aromaterapia, mantras e outros métodos para restaurar o equilíbrio e promover o bem-estar em todos os níveis. Seja você um iniciante curioso ou um praticante experiente, o ""Curso Completo de Chakras e Cura Energética"" oferece um mapa claro e abrangente para explorar e aprimorar sua conexão com a energia universal. Transforme sua vida, cure seu corpo e expanda sua consciência com este guia essencial para o autoconhecimento e a cura interior.",['Marcel Souza']
Reiki Tradicional Para O Mundo Moderno,http://books.google.com.br/books?id=1rJi67A4Y0cC&dq=cura+quantica+OR+energia+OR+chakras+OR+reiki+OR+lei+da+atracao+OR+cura+natural&hl=&as_pt=BOOKS&source=gbs_api,,
